si\µ;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
3;-1.67674;-1.67663;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662;-1.67662
3.1;-1.80567;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561;-1.80561
3.2;-1.93808;-1.938;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798;-1.93798
3.3;-2.07349;-2.07351;-2.07348;-2.07347;-2.07348;-2.07348;-2.07347;-2.07347;-2.07347;-2.07347;-2.07347;-2.07347;-2.07347;-2.07347;-2.07347
3.4;-2.21189;-2.21188;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185;-2.21185
3.5;-2.3529;-2.35289;-2.35288;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287;-2.35287
3.6;-2.49642;-2.49636;-2.49636;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634;-2.49634
3.7;-2.64219;-2.64211;-2.64207;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206;-2.64206
3.8;-2.78998;-2.78989;-2.78986;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985;-2.78985
3.9;-2.93969;-2.93956;-2.93956;-2.93955;-2.93954;-2.93954;-2.93954;-2.93954;-2.93954;-2.93954;-2.93954;-2.93954;-2.93954;-2.93954;-2.93954
4;-3.09109;-3.09101;-3.091;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099;-3.09099
4.1;-3.2442;-3.24407;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405;-3.24405
4.2;-3.39869;-3.39862;-3.3986;-3.3986;-3.3986;-3.39859;-3.39859;-3.39859;-3.39859;-3.39859;-3.39859;-3.39859;-3.39859;-3.39859;-3.39859
4.3;-3.55464;-3.55454;-3.55452;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451;-3.55451
4.4;-3.71185;-3.71173;-3.71171;-3.7117;-3.71169;-3.71169;-3.71169;-3.71169;-3.71169;-3.71169;-3.71169;-3.71169;-3.71169;-3.71169;-3.71169
4.5;-3.87016;-3.87009;-3.87006;-3.87005;-3.87004;-3.87004;-3.87004;-3.87004;-3.87004;-3.87004;-3.87004;-3.87004;-3.87004;-3.87004;-3.87004
4.6;-4.02959;-4.02952;-4.02948;-4.02948;-4.02947;-4.02947;-4.02947;-4.02947;-4.02947;-4.02947;-4.02947;-4.02947;-4.02947;-4.02947;-4.02947
4.7;-4.19001;-4.18994;-4.18991;-4.18991;-4.1899;-4.1899;-4.1899;-4.1899;-4.1899;-4.1899;-4.1899;-4.1899;-4.1899;-4.1899;-4.1899
4.8;-4.35139;-4.3513;-4.35127;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126;-4.35126
4.9;-4.5136;-4.5135;-4.51348;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347;-4.51347
5;-4.67658;-4.67652;-4.67649;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648;-4.67648
